Name: CCTV1, URL: http://171.213.145.228/rtp/239.93.0.184:5140$四川电信组播源-cache:171.213.145.228, IPv_Type: ipv4, Date: 2025-02-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://171.213.196.93/rtp/239.93.0.184:5140$四川电信组播源-cache:171.213.196.93, IPv_Type: ipv4, Date: 2025-02-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://171.213.140.245/rtp/239.93.0.184:5140$四川电信组播源-cache:171.213.140.245, IPv_Type: ipv4, Date: 2025-02-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://180.213.174.225/rtp/239.5.1.4:5000$天津电信组播源-cache:180.213.174.225, IPv_Type: ipv4, Date: 2025-02-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://60.26.62.133/rtp/225.1.1.120:5002$天津联通组播源-cache:60.26.62.133, IPv_Type: ipv4, Date: 2025-02-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://221.197.237.15/rtp/225.1.1.120:5002$天津联通组播源-cache:221.197.237.15, IPv_Type: ipv4, Date: 2025-02-18, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://111.167.222.237/rtp/225.1.1.120:5002$天津联通组播源-cache:111.167.222.237, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://111.160.17.2/rtp/225.1.1.120:5002$天津联通组播源-cache:111.160.17.2, IPv_Type: ipv4, Date: 2025-02-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://60.29.124.66/rtp/225.1.1.120:5002$天津联通组播源-cache:60.29.124.66, IPv_Type: ipv4, Date: 2024-01-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://223.244.96.159/rtp/238.1.78.166:7200$安徽电信组播源-cache:223.244.96.159, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://60.172.83.247/rtp/238.1.78.166:7200$安徽电信组播源-cache:60.172.83.247, IPv_Type: ipv4, Date: 2025-02-18, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://36.5.86.101/rtp/238.1.78.166:7200$安徽电信组播源-cache:36.5.86.101, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://114.97.150.133/rtp/238.1.78.166:7200$安徽电信组播源-cache:114.97.150.133, IPv_Type: ipv4, Date: 2025-02-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://223.215.173.46/rtp/238.1.78.166:7200$安徽电信组播源-cache:223.215.173.46, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://183.166.145.240/rtp/238.1.78.166:7200$安徽电信组播源-cache:183.166.145.240, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
